Match_ID,Date,Venue,Team,Opponent,Team_Runs,Opponent_Runs,Winner,Top_Scorer,Top_Score,Wickets_Taken,Best_Bowler
1,01-04-2025,Mumbai,MI,CSK,182,176,MI,Rohit Sharma,74,3,Jasprit Bumrah
2,02-04-2025,Chennai,CSK,RCB,198,185,CSK,Ruturaj Gaikwad,89,2,Matheesha Pathirana
3,03-04-2025,Bengaluru,RCB,GT,175,178,GT,Shubman Gill,67,4,Rashid Khan
4,04-04-2025,Kolkata,KKR,MI,201,190,KKR,Shreyas Iyer,72,3,Sunil Narine
5,05-04-2025,Delhi,DC,LSG,168,172,LSG,KL Rahul,70,2,Mark Wood
6,06-04-2025,Lucknow,LSG,SRH,187,181,LSG,Nicholas Pooran,65,3,Ravi Bishnoi
7,07-04-2025,Hyderabad,SRH,,209,202,SRH,Travis Head,95,4,Pat Cummins
8,08-04-2025,Jaipur,RR,PBKS,190,182,RR,Sanju Samson,77,3,Yuzvendra Chahal
9,09-04-2025,Punjab,PBKS,KKR,185,189,KKR,Litton Das,62,2,Mitchell Starc
,10-04-2025,Ahmedabad,GT,DC,210,200,GT,David Miller,85,3,Noor Ahmad
11,11-04-2025,Mumbai,MI,RCB,195,191,MI,Suryakumar Yadav,81,2,Hardik Pandya
12,12-04-2025,Chennai,CSK,GT,202,188,CSK,Ruturaj Gaikwad,92,3,Deepak Chahar
13,13-04-2025,Bengaluru,RCB,KKR,183,190,KKR,Shreyas Iyer,69,4,Sunil Narine
14,14-04-2025,Kolkata,KKR,SRH,207,203,KKR,Phil Salt,88,3,Varun Chakravarthy
15,15-04-2025,Delhi,DC,PBKS,178,182,PBKS,Shikhar Dhawan,73,2,Kagiso Rabada
16,16-04-2025,Lucknow,LSG,RR,212,209,LSG,Marcus Stoinis,97,3,Mark Wood
17,17-04-2025,Hyderabad,,MI,199,202,MI,Ishan Kishan,84,3,Jasprit Bumrah
18,18-04-2025,Jaipur,RR,DC,185,177,RR,Yashasvi Jaiswal,71,2,Trent Boult
19,19-04-2025,Punjab,PBKS,LSG,188,193,LSG,KL Rahul,78,3,Mohsin Khan
20,20-04-2025,Ahmedabad,GT,RR,204,200,GT,Shubman Gill,91,2,Rashid Khan
21,21-04-2025,Mumbai,MI,KKR,216,208,MI,Rohit Sharma,98,3,Jasprit Bumrah
22,22-04-2025,Chennai,CSK,SRH,209,201,CSK,Ruturaj Gaikwad,83,4,Matheesha Pathirana
23,23-04-2025,Bengaluru,RCB,DC,194,189,RCB,Virat Kohli,88,3,Mohammed Siraj
24,24-04-2025,Kolkata,KKR,PBKS,187,183,KKR,Andre Russell,72,4,Sunil Narine
25,25-04-2025,Delhi,DC,GT,181,185,GT,Sai Sudharsan,66,3,Mohit Sharma
26,26-04-2025,Lucknow,LSG,MI,198,187,LSG,Nicholas Pooran,75,2,Krunal Pandya
27,27-04-2025,Hyderabad,SRH,RCB,214,206,SRH,Heinrich Klaasen,93,4,Pat Cummins
28,28-04-2025,Jaipur,RR,CSK,209,210,CSK,Shivam Dube,82,3,Mustafizur Rahman
29,29-04-2025,Punjab,PBKS,GT,176,181,GT,David Miller,71,2,Spencer Johnson
30,30-04-2025,Ahmedabad,GT,KKR,220,215,GT,Rahul Tewatia,79,3,Rashid Khan
